"By age ","By qualification of stay","PERIOD","Total","Male","Female",
"Total","Total","2000 ","173071","101757","71314",
"Total","Total","2001 ","163898","92629","71269",
"Total","Total","2002 ","158941","92311","66630",
"Total","Total","2003 ","168875","102988","65887",
"Total","Total","2004 ","178530","103661","74869",
"Total","Total","2005 ","253729","150337","103392",
"Total","Total","2006 ","302963","180452","122511",
"Total","Total","2007 ","300360","165873","134487",
"Total","Total","2008 ","302174","166526","135648",
"Total","Total","2009 ","232844","121260","111584",
"Total","Total","2010 ","293070","156323","136747",
"Total","Total","2011 ","307249","168714","138535",
"Total","Total","2012 ","300177","165110","135067",
"Total","Total","2013 ","360473","201044","159429",
"Total","Total","2014 ","407063","223706","183357",
"Total","Total","2015 ","372935","200112","172823",
"Total","Total","2016 ","402203","217452","184751",
"Total","Total","2017 ","452657","245397","207260",
"Total","Total","2018 ","495079","268533","226546",
"Total","Total","2019 ","438220","230063","208157",
"Total","Sightseeing Pass","2000 ","14923","8731","6192",
"Total","Sightseeing Pass","2001 ","20954","13521","7433",
"Total","Sightseeing Pass","2002 ","22907","14581","8326",
"Total","Sightseeing Pass","2003 ","17814","10914","6900",
"Total","Sightseeing Pass","2004 ","18729","10858","7871",
"Total","Sightseeing Pass","2005 ","17688","10029","7659",
"Total","Sightseeing Pass","2006 ","15922","8833","7089",
"Total","Sightseeing Pass","2007 ","15911","8750","7161",
"Total","Sightseeing Pass","2008 ","18336","10226","8110",
"Total","Sightseeing Pass","2009 ","21012","11159","9853",
"Total","Sightseeing Pass","2010 ","25681","13778","11903",
"Total","Sightseeing Pass","2011 ","24239","12275","11964",
"Total","Sightseeing Pass","2012 ","24733","12402","12331",
"Total","Sightseeing Pass","2013 ","22044","11290","10754",
"Total","Sightseeing Pass","2014 ","23441","12346","11095",
"Total","Sightseeing Pass","2015 ","26335","14260","12075",
"Total","Sightseeing Pass","2016 ","23863","12822","11041",
"Total","Sightseeing Pass","2017 ","24137","13669","10468",
"Total","Sightseeing Pass","2018 ","32990","19541","13449",
"Total","Sightseeing Pass","2019 ","23192","11590","11602",
"Total","Short-term Business","2000 ","17718","11396","6322",
