"","Year","GDP Growth","Entertainment","Employment","Academic","Religion","Family","Investment","Sum"
"1",2000,9.06083332508534,19670,1409,2173,527,8594,19945,103852
"2",2001,4.85239957151281,26554,1664,2722,637,12123,23130,113258
"3",2002,7.72514267547173,27422,1758,3592,579,9290,12493,98198
"4",2003,3.14729119373408,20993,3760,4806,523,11337,9416,84332
"5",2004,5.19739136324382,21679,9701,7532,514,18245,9312,97743
"6",2005,4.30854271411236,21259,36284,9554,585,51204,8743,166416
"7",2006,5.26432659466724,18833,37715,13537,643,84400,13406,208964
"8",2007,5.79954841503216,18589,44270,15654,662,17668,17816,149215
"9",2008,3.01298487281167,21371,59810,15283,632,5554,10187,141483
"10",2009,0.792698989518186,23792,35104,15395,478,5335,4526,107035
"11",2010,6.80482491783671,28230,46871,17456,535,8410,4547,166915
"12",2011,3.68566778212526,26180,63599,16376,491,7738,4531,200093
"13",2012,2.40253099246186,27205,67040,16117,2151,24133,2006,218261
"14",2013,3.16470863647184,24467,72244,20032,667,23574,2564,250359
"15",2014,3.2024537945736,25957,68586,22689,576,20295,2364,241682
"16",2015,2.80910326824133,28454,69520,24067,524,21864,1958,262253
"17",2016,2.94688171508626,25438,86459,28123,567,29409,1824,293556
"18",2017,3.15963574012777,25249,81633,28891,519,29482,1216,287391
"19",2018,2.66493034603647,34168,88381,36244,447,30734,1253,315528
"20",2019,2.03315097078062,24490,83994,36012,422,33889,1241,297644
