"","Year","Visa","Percentages","GDP_growth"
"1",2000,"Temp",100,156.221264225609
"2",2000,"Perm",0,156.221264225609
"3",2001,"Temp",100,83.662061577807
"4",2001,"Perm",0,83.662061577807
"5",2002,"Temp",99.9657910812462,133.19211509434
"6",2002,"Perm",0.034208918753818,133.19211509434
"7",2003,"Temp",99.2142332385728,54.2636412712772
"8",2003,"Perm",0.785766761427157,54.2636412712772
"9",2004,"Temp",98.5306494599523,89.610195917997
"10",2004,"Perm",1.46935054004769,89.610195917997
"11",2005,"Temp",98.8387203804573,74.2852192088339
"12",2005,"Perm",1.16127961954268,74.2852192088339
"13",2006,"Temp",99.0522832561218,90.7642516321938
"14",2006,"Perm",0.947716743878226,90.7642516321938
"15",2007,"Temp",98.5076530612245,99.9922140522787
"16",2007,"Perm",1.49234693877551,99.9922140522787
"17",2008,"Temp",97.6030759162304,51.9480150484771
"18",2008,"Perm",2.39692408376963,51.9480150484771
"19",2009,"Temp",96.5069003034988,13.6672239572101
"20",2009,"Perm",3.49309969650117,13.6672239572101
"21",2010,"Temp",97.3708008911044,117.324567548909
"22",2010,"Perm",2.6291991088956,117.324567548909
"23",2011,"Temp",95.445254989282,63.5459962435391
"24",2011,"Perm",4.55474501071802,63.5459962435391
"25",2012,"Temp",93.4673784696236,41.4229481458942
"26",2012,"Perm",6.53262153037636,41.4229481458942
"27",2013,"Temp",93.5288402536306,54.5639420081352
"28",2013,"Perm",6.4711597463694,54.5639420081352
"29",2014,"Temp",90.8811017496234,55.2147205960966
"30",2014,"Perm",9.11889825037657,55.2147205960966
"31",2015,"Temp",91.7578897920255,48.4328149696781
"32",2015,"Perm",8.24211020797449,48.4328149696781
"33",2016,"Temp",91.7079560339427,50.8083054325218
"34",2016,"Perm",8.29204396605729,50.8083054325218
"35",2017,"Temp",91.3496376811594,54.476478278065
"36",2017,"Perm",8.65036231884058,54.476478278065
"37",2018,"Temp",91.2070182514874,45.9470749316633
"38",2018,"Perm",8.79298174851265,45.9470749316633
"39",2019,"Temp",90.4902867715079,35.0543270824246
"40",2019,"Perm",9.50971322849214,35.0543270824246
