"","Reason","year","Age","Male","Female","Total"
"1","Sightseeing Pass",2000,"Total",8731,6192,14923
"2","Sightseeing Pass",2001,"Total",13521,7433,20954
"3","Sightseeing Pass",2002,"Total",14581,8326,22907
"4","Sightseeing Pass",2003,"Total",10914,6900,17814
"5","Sightseeing Pass",2004,"Total",10858,7871,18729
"6","Sightseeing Pass",2005,"Total",10029,7659,17688
"7","Sightseeing Pass",2006,"Total",8833,7089,15922
"8","Sightseeing Pass",2007,"Total",8750,7161,15911
"9","Sightseeing Pass",2008,"Total",10226,8110,18336
"10","Sightseeing Pass",2009,"Total",11159,9853,21012
"11","Sightseeing Pass",2010,"Total",13778,11903,25681
"12","Sightseeing Pass",2011,"Total",12275,11964,24239
"13","Sightseeing Pass",2012,"Total",12402,12331,24733
"14","Sightseeing Pass",2013,"Total",11290,10754,22044
"15","Sightseeing Pass",2014,"Total",12346,11095,23441
"16","Sightseeing Pass",2015,"Total",14260,12075,26335
"17","Sightseeing Pass",2016,"Total",12822,11041,23863
"18","Sightseeing Pass",2017,"Total",13669,10468,24137
"19","Sightseeing Pass",2018,"Total",19541,13449,32990
"20","Sightseeing Pass",2019,"Total",11590,11602,23192
"21","Short-term Business",2000,"Total",11396,6322,17718
"22","Short-term Business",2001,"Total",13370,7657,21027
"23","Short-term Business",2002,"Total",7248,3513,10761
"24","Short-term Business",2003,"Total",5716,2116,7832
"25","Short-term Business",2004,"Total",5670,1956,7626
"26","Short-term Business",2005,"Total",4810,1695,6505
"27","Short-term Business",2006,"Total",8792,3133,11925
"28","Short-term Business",2007,"Total",12039,4129,16168
"29","Short-term Business",2008,"Total",6609,1834,8443
"30","Short-term Business",2009,"Total",2375,519,2894
"31","Short-term Business",2010,"Total",2367,385,2752
"32","Short-term Business",2011,"Total",2267,299,2566
"33","Short-term Visitors",2000,"Total",27106,23170,50276
"34","Short-term Visitors",2001,"Total",24313,20531,44844
"35","Short-term Visitors",2002,"Total",23394,17517,40911
"36","Short-term Visitors",2003,"Total",16682,14379,31061
"37","Short-term Visitors",2004,"Total",15740,12357,28097
"38","Short-term Visitors",2005,"Total",17793,17954,35747
"39","Short-term Visitors",2006,"Total",19191,18226,37417
"40","Short-term Visitors",2007,"Total",15067,15825,30892
"41","Short-term Visitors",2008,"Total",10857,13005,23862
"42","Short-term Visitors",2009,"Total",6767,10086,16853
"43","Short-term Visitors",2010,"Total",21547,22598,44145
"44","Short-term Visitors",2011,"Total",28414,29024,57438
"45","Short-term Visitors",2012,"Total",28937,27264,56201
"46","Short-term Visitors",2013,"Total",38866,34296,73162
"47","Short-term Visitors",2014,"Total",28822,26082,54904
"48","Short-term Visitors",2015,"Total",33682,30777,64459
"49","Short-term Visitors",2016,"Total",35159,29253,64412
"50","Short-term Visitors",2017,"Total",35336,27191,62527
"51","Short-term Visitors",2018,"Total",35655,27660,63315
"52","Short-term Visitors",2019,"Total",33814,24878,58692
"53","Short-term Employment",2000,"Total",166,44,210
"54","Short-term Employment",2001,"Total",99,67,166
"55","Short-term Employment",2002,"Total",213,122,335
"56","Short-term Employment",2003,"Total",247,141,388
"57","Short-term Employment",2004,"Total",201,135,336
"58","Short-term Employment",2005,"Total",243,146,389
"59","Short-term Employment",2006,"Total",231,138,369
"60","Short-term Employment",2007,"Total",293,191,484
"61","Short-term Employment",2008,"Total",200,117,317
"62","Short-term Employment",2009,"Total",95,66,161
"63","Short-term Employment",2010,"Total",84,69,153
"64","Short-term Employment",2011,"Total",82,49,131
"65","Short-term Employment",2012,"Total",118,76,194
"66","Short-term Employment",2013,"Total",51,25,76
"67","Short-term Employment",2014,"Total",51,26,77
"68","Short-term Employment",2015,"Total",93,34,127
"69","Short-term Employment",2016,"Total",326,35,361
"70","Short-term Employment",2017,"Total",140,113,253
"71","Short-term Employment",2018,"Total",170,72,242
"72","Short-term Employment",2019,"Total",155,55,210
"73","Job Seeking",2000,"Total",0,0,0
"74","Job Seeking",2001,"Total",0,0,0
"75","Job Seeking",2002,"Total",0,0,0
"76","Job Seeking",2003,"Total",0,0,0
